in s,C1 in V
-2.97168E-05,-8.55469E-03
-2.97168E-05,1.09766E-02
-2.97160E-05,-8.55469E-03
-2.97160E-05,3.05078E-02
-2.97152E-05,1.21094E-03
-2.97152E-05,3.05078E-02
-2.97144E-05,-2.80859E-02
-2.97144E-05,1.21094E-03
-2.97136E-05,-2.80859E-02
-2.97136E-05,1.21094E-03
-2.97128E-05,-1.83203E-02
-2.97128E-05,1.09766E-02
-2.97120E-05,-1.83203E-02
-2.97120E-05,1.09766E-02
-2.97112E-05,-1.83203E-02
-2.97112E-05,1.21094E-03
-2.97104E-05,-1.83203E-02
-2.97104E-05,1.21094E-03
-2.97096E-05,-1.83203E-02
-2.97096E-05,1.09766E-02
-2.97088E-05,-1.83203E-02
-2.97088E-05,1.09766E-02
-2.97080E-05,-1.83203E-02
-2.97080E-05,1.09766E-02
-2.97072E-05,-1.83203E-02
-2.97072E-05,1.09766E-02
-2.97064E-05,1.21094E-03
-2.97064E-05,1.09766E-02
-2.97056E-05,-1.83203E-02
-2.97056E-05,1.09766E-02
-2.97048E-05,-1.83203E-02
-2.97048E-05,1.21094E-03
-2.97040E-05,1.21094E-03
-2.97040E-05,1.21094E-03
-2.97032E-05,-2.80859E-02
-2.97032E-05,1.21094E-03
-2.97024E-05,-2.80859E-02
-2.97024E-05,1.21094E-03
-2.97016E-05,-2.80859E-02
-2.97016E-05,1.21094E-03
-2.97008E-05,-2.80859E-02
-2.97008E-05,1.09766E-02
-2.97000E-05,-1.83203E-02
-2.97000E-05,1.09766E-02
-2.96992E-05,-1.83203E-02
-2.96992E-05,-8.55469E-03
-2.96984E-05,-2.80859E-02
-2.96984E-05,-8.55469E-03
-2.96976E-05,-3.78516E-02
-2.96976E-05,-8.55469E-03
-2.96968E-05,-3.78516E-02
-2.96968E-05,1.21094E-03
-2.96960E-05,-1.83203E-02
-2.96960E-05,2.07422E-02
-2.96952E-05,-4.76172E-02
-2.96952E-05,2.07422E-02
-2.96944E-05,-4.76172E-02
-2.96944E-05,1.21094E-03
-2.96936E-05,1.21094E-03
-2.96936E-05,1.21094E-03
-2.96928E-05,-8.55469E-03
-2.96928E-05,1.21094E-03
-2.96920E-05,-8.55469E-03
