time (s),C1 (V)
-9.63E-07,2.16016E-02
-9.63E-07,5.08984E-02
-9.62E-07,2.16016E-02
-9.62E-07,4.11328E-02
-9.62E-07,2.16016E-02
-9.61E-07,2.07031E-03
-9.61E-07,1.18359E-02
-9.60E-07,1.18359E-02
-9.60E-07,2.07031E-03
-9.60E-07,2.16016E-02
-9.59E-07,-7.70E-03
-9.59E-07,-1.75E-02
-9.58E-07,4.11328E-02
-9.58E-07,1.18359E-02
-9.58E-07,2.16016E-02
-9.57E-07,2.16016E-02
-9.57E-07,2.16016E-02
-9.56E-07,2.07031E-03
-9.56E-07,1.18359E-02
-9.56E-07,1.18359E-02
-9.55E-07,2.16016E-02
-9.55E-07,-1.75E-02
-9.54E-07,2.07031E-03
-9.54E-07,2.16016E-02
-9.54E-07,4.11328E-02
-9.53E-07,-7.70E-03
-9.53E-07,2.07031E-03
-9.52E-07,3.13672E-02
-9.52E-07,1.18359E-02
-9.52E-07,3.13672E-02
-9.51E-07,3.13672E-02
-9.51E-07,1.18359E-02
-9.50E-07,-2.72E-02
-9.50E-07,-1.75E-02
-9.50E-07,2.07031E-03
-9.49E-07,-7.70E-03
-9.49E-07,-1.75E-02
-9.48E-07,1.18359E-02
-9.48E-07,-1.75E-02
-9.48E-07,4.11328E-02
-9.47E-07,2.07031E-03
-9.47E-07,2.07031E-03
-9.46E-07,2.07031E-03
-9.46E-07,-7.70E-03
-9.46E-07,2.16016E-02
-9.45E-07,1.18359E-02
-9.45E-07,4.11328E-02
-9.44E-07,1.18359E-02
-9.44E-07,2.16016E-02
-9.44E-07,4.11328E-02
-9.43E-07,-1.75E-02
-9.43E-07,2.07031E-03
-9.42E-07,2.16016E-02
-9.42E-07,2.16016E-02
-9.42E-07,4.11328E-02
-9.41E-07,-1.75E-02
-9.41E-07,1.18359E-02
-9.40E-07,-7.70E-03
-9.40E-07,3.13672E-02
-9.40E-07,2.16016E-02
-9.39E-07,-7.70E-03
-9.39E-07,1.18359E-02
-9.38E-07,2.07031E-03
-9.38E-07,-1.75E-02
-9.38E-07,3.13672E-02
-9.37E-07,2.16016E-02
-9.37E-07,1.18359E-02
-9.36E-07,2.16016E-02
-9.36E-07,1.18359E-02
-9.36E-07,1.18359E-02
-9.35E-07,1.18359E-02
-9.35E-07,1.18359E-02
-9.34E-07,1.18359E-02
-9.34E-07,-7.70E-03
-9.34E-07,1.18359E-02
-9.33E-07,2.16016E-02
-9.33E-07,2.16016E-02
-9.32E-07,3.13672E-02
-9.32E-07,1.18359E-02
-9.32E-07,4.11328E-02
-9.31E-07,-1.75E-02
-9.31E-07,1.18359E-02
-9.30E-07,-1.75E-02
-9.30E-07,2.07031E-03
-9.30E-07,2.16016E-02
-9.29E-07,1.18359E-02
-9.29E-07,-1.75E-02
-9.28E-07,-1.75E-02
-9.28E-07,1.18359E-02
-9.28E-07,1.18359E-02
-9.27E-07,2.07031E-03
-9.27E-07,-7.70E-03
-9.26E-07,3.13672E-02
-9.26E-07,-7.70E-03
-9.26E-07,1.18359E-02
-9.25E-07,3.13672E-02
-9.25E-07,2.07031E-03
-9.24E-07,2.16016E-02
-9.24E-07,2.16016E-02
-9.24E-07,-7.70E-03
-9.23E-07,-7.70E-03
-9.23E-07,2.07031E-03
-9.22E-07,1.18359E-02
-9.22E-07,3.13672E-02
-9.22E-07,1.18359E-02
-9.21E-07,1.18359E-02
-9.21E-07,1.18359E-02
-9.20E-07,3.13672E-02
-9.20E-07,2.16016E-02
-9.20E-07,1.18359E-02
-9.19E-07,1.18359E-02
-9.19E-07,3.13672E-02
-9.18E-07,2.16016E-02
-9.18E-07,-7.70E-03
-9.18E-07,2.07031E-03
-9.17E-07,1.18359E-02
-9.17E-07,2.16016E-02
-9.16E-07,-7.70E-03
-9.16E-07,-7.70E-03
-9.16E-07,-7.70E-03
-9.15E-07,4.11328E-02
-9.15E-07,2.16016E-02
-9.14E-07,2.16016E-02
-9.14E-07,-7.70E-03
-9.14E-07,1.18359E-02
-9.13E-07,1.18359E-02
-9.13E-07,5.08984E-02
-9.12E-07,2.07031E-03
-9.12E-07,1.18359E-02
-9.12E-07,2.07031E-03
-9.11E-07,4.11328E-02
-9.11E-07,2.16016E-02
-9.10E-07,2.16016E-02
-9.10E-07,4.11328E-02
-9.10E-07,3.13672E-02
-9.09E-07,1.18359E-02
-9.09E-07,2.16016E-02
-9.08E-07,1.18359E-02
-9.08E-07,1.18359E-02
-9.08E-07,2.16016E-02
-9.07E-07,4.11328E-02
-9.07E-07,1.18359E-02
-9.06E-07,1.18359E-02
-9.06E-07,-1.75E-02
-9.06E-07,2.16016E-02
-9.05E-07,-2.72E-02
-9.05E-07,-7.70E-03
-9.04E-07,-1.75E-02
-9.04E-07,2.16016E-02
-9.04E-07,-1.75E-02
-9.03E-07,-7.70E-03
-9.03E-07,1.18359E-02
-9.02E-07,2.16016E-02
-9.02E-07,2.07031E-03
-9.02E-07,1.18359E-02
-9.01E-07,2.07031E-03
